
2024/09/11 (12:58:05) | ===> btop++ v.1.3.2
2024/09/11 (12:58:05) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/12 (10:55:55) | ===> btop++ v.1.3.2
2024/09/12 (10:55:55) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/17 (11:36:59) | ===> btop++ v.1.3.2
2024/09/17 (11:36:59) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/20 (16:17:27) | ===> btop++ v.1.3.2
2024/09/20 (16:17:27) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/20 (16:59:35) | ===> btop++ v.1.3.2
2024/09/20 (16:59:35) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/20 (17:00:03) | ===> btop++ v.1.3.2
2024/09/20 (17:00:03) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/20 (17:22:03) | ===> btop++ v.1.3.2
2024/09/20 (17:22:03) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/20 (17:24:19) | ===> btop++ v.1.3.2
2024/09/20 (17:24:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/20 (17:30:10) | ===> btop++ v.1.3.2
2024/09/20 (17:30:10) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/20 (18:08:19) | ===> btop++ v.1.3.2
2024/09/20 (18:08:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/23 (15:57:26) | ===> btop++ v.1.3.2
2024/09/23 (15:57:26) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/24 (10:38:00) | ===> btop++ v.1.3.2
2024/09/24 (10:38:00) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/24 (16:00:22) | ===> btop++ v.1.3.2
2024/09/24 (16:00:22) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/24 (16:05:38) | ===> btop++ v.1.3.2
2024/09/24 (16:05:38) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/25 (13:51:23) | ===> btop++ v.1.3.2
2024/09/25 (13:51:23) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/01 (12:56:15) | ===> btop++ v.1.3.2
2024/10/01 (12:56:15) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/02 (09:25:17) | ===> btop++ v.1.3.2
2024/10/02 (09:25:17) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/04 (10:15:20) | ===> btop++ v.1.3.2
2024/10/04 (10:15:20) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/10 (09:49:57) | ===> btop++ v.1.3.2
2024/10/10 (09:49:57) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/10 (09:54:35) | ===> btop++ v.1.3.2
2024/10/10 (09:54:35) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/10 (09:56:03) | ===> btop++ v.1.3.2
2024/10/10 (09:56:03) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/15 (15:49:08) | ===> btop++ v.1.3.2
2024/10/15 (15:49:08) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/22 (15:56:40) | ===> btop++ v.1.4.0
2024/10/22 (15:56:40) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/23 (09:09:15) | ===> btop++ v.1.4.0
2024/10/23 (09:09:15) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/29 (09:27:55) | ===> btop++ v.1.4.0
2024/10/29 (09:27:55) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/29 (09:37:16) | ===> btop++ v.1.4.0
2024/10/29 (09:37:16) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/29 (10:19:07) | ===> btop++ v.1.4.0
2024/10/29 (10:19:07) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/30 (09:23:08) | ===> btop++ v.1.4.0
2024/10/30 (09:23:08) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/11/04 (11:44:04) | ===> btop++ v.1.4.0
2024/11/04 (11:44:04) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/11/05 (08:30:28) | ===> btop++ v.1.4.0
2024/11/05 (08:30:28) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/11/06 (09:39:41) | ===> btop++ v.1.4.0
2024/11/06 (09:39:41) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/11/18 (12:33:34) | ===> btop++ v.1.4.0
2024/11/18 (12:33:34) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/11/20 (11:25:15) | ===> btop++ v.1.4.0
2024/11/20 (11:25:15) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/11/20 (11:37:19) | ===> btop++ v.1.4.0
2024/11/20 (11:37:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/11/27 (10:46:56) | ===> btop++ v.1.4.0
2024/11/27 (10:46:56) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/05 (09:11:04) | ===> btop++ v.1.4.0
2024/12/05 (09:11:04) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/11 (12:09:51) | ===> btop++ v.1.4.0
2024/12/11 (12:09:51) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/11 (12:10:57) | ===> btop++ v.1.4.0
2024/12/11 (12:10:57) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/11 (13:14:22) | ===> btop++ v.1.4.0
2024/12/11 (13:14:22) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/18 (10:01:47) | ===> btop++ v.1.4.0
2024/12/18 (10:01:47) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/18 (10:15:39) | ===> btop++ v.1.4.0
2024/12/18 (10:15:39) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/18 (10:50:14) | ===> btop++ v.1.4.0
2024/12/18 (10:50:14) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/19 (15:16:30) | ===> btop++ v.1.4.0
2024/12/19 (15:16:30) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/19 (15:16:52) | ===> btop++ v.1.4.0
2024/12/19 (15:16:52) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/19 (15:17:22) | ===> btop++ v.1.4.0
2024/12/19 (15:17:22) | WARNING: Failed to set locale UTF-8 continuing anyway.
